Row Labels;7 Days to Die;AdVenture Capitalist;Age of Empires II HD Edition;APB Reloaded;ARK Survival Evolved;Arma 2 Operation Arrowhead;Arma 3;Assassin's Creed IV Black Flag;Baldur's Gate II Enhanced Edition;Battlefield Bad Company 2;BioShock Infinite;Borderlands;Borderlands 2;Call of Duty Black Ops;Call of Duty Black Ops - Multiplayer;Call of Duty Black Ops II - Multiplayer;Call of Duty Ghosts - Multiplayer;Call of Duty Modern Warfare 2;Call of Duty Modern Warfare 2 - Multiplayer;Call of Duty Modern Warfare 3;Call of Duty Modern Warfare 3 - Multiplayer;Chivalry Medieval Warfare;Clicker Heroes;Counter-Strike;Counter-Strike Condition Zero;Counter-Strike Global Offensive;Counter-Strike Source;Crusader Kings II;DARK SOULS II;Dark Souls Prepare to Die Edition;Day of Defeat Source;DayZ;DC Universe Online;Deus Ex Human Revolution;Don't Starve;Dota 2;Dungeon Defenders;Empire Total War;Euro Truck Simulator 2;Europa Universalis IV;Fallout 4;Fallout New Vegas;Far Cry 3;FINAL FANTASY XIV A Realm Reborn;Football Manager 2009;Football Manager 2010;Football Manager 2011;Football Manager 2012;Football Manager 2013;Football Manager 2014;Football Manager 2015;Garry's Mod;Grand Theft Auto IV;Grand Theft Auto V;H1Z1;Half-Life 2;Half-Life 2 Deathmatch;Just Cause 2;Kerbal Space Program;Killing Floor;Left 4 Dead;Left 4 Dead 2;Medieval II Total War;METAL GEAR SOLID V THE PHANTOM PAIN;Might & Magic Heroes VI;Mount & Blade Warband;Napoleon Total War;Neverwinter;Path of Exile;PAYDAY 2;PlanetSide 2;Portal 2;Rising Storm/Red Orchestra 2 Multiplayer;Robocraft;Rocket League;Rust;Saints Row The Third;Sid Meier's Civilization IV Beyond the Sword;Sid Meier's Civilization V;Space Engineers;Star Trek Online;Starbound;Stronghold Kingdoms;Team Fortress 2;Terraria;The Binding of Isaac;The Binding of Isaac Rebirth;The Elder Scrolls V Skyrim;The Witcher 3 Wild Hunt;Tom Clancy's Ghost Recon Phantoms - NA;Torchlight II;Total War ROME II - Emperor Edition;Total War SHOGUN 2;Trove;Unturned;War Thunder;Warframe;Warhammer 40,000 Dawn of War II;XCOM Enemy Unknown
67713900;;;;;;;;;;;;;;;;;;116;;136;;;;;;;;;;;;;;;;;;825;;;;;;;;;407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67729331;;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;856;;4,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,8;1;;;;121;;;;;;;;327;;;
67729721;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67834115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67923337;;;;;;;;;;;;;;;;;;;;;;;;;;;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67965357;;;;;;;;;;;;;;;;;;;;;;;14,4;;;;;;;;;;;;;2329;;;;;;;;;;;;;;;;;;;;;;;;;;13,6;;;;;;;;;;;;;;;;;;;;;;6,8;;;;;;;;;;;3,2;;;;
68049243;;;;;;;;;;4,3;;;;;;;;;;;;;;;;4;;;;48;;;;;;;;;;;;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;;;
68135360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68200610;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;646;;;;;;;;;75;;;;;;;;;;;
68224834;;;;;;;;;;;;;15,9;;;;11,2;;;;;;;;;19,6;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;;;;;;;;;;;;;;;0,2;;;;4,8;;;9,6;;;;;;;;
68240622;;;;;;;;;;;16,9;;;;;;;;;;;;;;;7,7;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;5,4;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;214;;;;;;;;;;;;;;;
68316900;;;;;;;;;;;16,1;;;;;;;;;;;;;;;;;;;5;;;;43;;;;;;;29;;;;;;;;;;;;42;;;;;;;2,6;;;;;;;;;;;;;;;;;;;;;;;;;14,2;;;106;;;;;3;;;;;;
68325099;;;;;;;;;;;;;;;;;;;;;;;;11,3;5,3;;;;;;14,9;;1,1;;;;;;;;;;;;;;;;;;;11,9;;;;35;0,1;;;;3,3;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;
68337019;;;;;;;;;;;;;;0,7;75;;;1,3;136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68372559;;;;;;;;;;;;;;;;;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68493240;;;;;;;;;;;;;;;;;;;;;;;;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68532738;;;;;;;;;;;;27;229;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,1;;;;;;;;;
68540434;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68559540;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,3;;;;;;;;;;;;;;;
68597425;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;316;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68633391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68672269;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68673468;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68685708;;;1;;;;;;;;;;;;;;;;;6,5;0,4;;;0,7;;533;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68719896;;;13,4;;;;;;;;;;;;;;;;;;;;;;;1,9;;;;;;1,8;;;;;;;;;;;;854;;;;;;;;;;;;;;;;;;49;;;;;;;;;;;;;40;;;;;;;5;;;3,8;;;32;;;;;;;0,2;;;;
68809194;;;2,9;;;30;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;4,2;6,7;;;;;;;;10,8;;;;;;;;;37;;;;;38;;;;;;32;2,6;;11,8;;;;;;
68935496;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68963476;;;;;;;;;;;;;;;;;;;;;;;;;;;218;;;;0,4;;;;;0,6;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69005851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69009454;;;3,6;;;;;;;;15,4;32;121;;;5,5;;5,5;0,9;;;1,6;;;;8,6;;27;;2,2;;;;1,5;;5,6;6,1;;;;;2,3;34;;;;;;;;;2,4;;;;;;4,7;1,2;;;14,1;26;;;;;;;;6,3;5,2;;;;;29;;25;1,2;;;;180;;2,1;;16,5;;;7;;63;;;;;1,7;6,7
69180564;;;;;;;;;;;;;;;;;;;;9,3;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69261797;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69364340;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69434488;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;67;;;;;;;;;;;;;;;;;;;;15,5;;;;;;;;;230;;;;;;18,3;;;;;;;;;;;;;;;;;;;189;;;;;;;
69587339;;;;;;;;;;;;;0,9;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;
69652738;;;;;;;;;;;;;;;;;;;;;;;;;;;43;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69812769;;;;;;;;;;;;;;;;;;;;;;;;8,2;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69821151;;;;;;;;;;;;;;;;;;;;;;;;;;;3,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69828237;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;908;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69849141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;;;;;;;;;;;;;;;;;;14,1;;;;;;;;;;;85;;;;;;;;;;;;;;;;;;;;;136;;;;541;33;;;;;;
69856757;81;0,3;;;11,3;4,9;;;;;;;50;;;;;;;;;11,7;;;;;;;;;;;;;;1377;11,7;122;;;;;;;;;;;;;;;;;;;;;;;;38;17,7;;;120;2,5;;;98;;;;;;;;;84;;;;;25;;;;;88;;;129;45;;;;;;
69942754;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69946630;;;;;;;;;;;;;;;;;;;;;;;;;;902;;;;;;;;;;203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,1;;;;;;;;;;;;;;;;;;;;;;;;
69953893;;;;;;;;;;;;;37;;;;;;;;;;;;;458;;;;;;34;;;;7;4,6;;;;;;;;;;;;;;;;;;;;;;;;;33;;;;;;;;;;;;;39;;;;;;;;;2;;5,4;1,2;;;;;;;;;;;;
69954842;;;;;240;;;;;;13,1;18,4;7,6;6,5;13,6;365;;4,3;89;23;221;;;;;;;;;;;;;;;;;;0,9;;;;;;;;;;;;;;1,8;;;2;;3,3;;1,3;4;7,7;;38;2,4;;12,5;;;;;18,4;;;;;18,5;;161;;;;;0,6;;;;22;;;14,9;;;;;;;11,8;6,9
70040501;;;;;;;;;;;;;;;;;;;;;;;;;;;170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70052469;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70075801;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,1;;;;;;;;;;;;;;;;;;;;;;;;18,9;;;;;38;;;;;;;;;;;;;;;;;;;;;;;;;;292;;;;;;
70126472;;;;;;;;;;;;;;;;;;11,4;190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70167393;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70180527;;;;;;;;;;;;;;66;1902;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70327507;;;;;;;;;;;;;;4,8;11,8;;;1,5;98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70345887;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70351792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96;162;12,1;11,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70381757;;;;;;;;;;;;;;2,2;0,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70398582;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;362;;;;;;;;;;;;;;;;;;;;
70408902;;;;;;;;;;;;;65;;;;;;;;;;;;;2,3;1,5;0,8;5,3;5,6;;;;7,9;;108;;;;;18,7;;;;;;;;;;;;;108;;;;;;0,5;;0,4;;;;0,7;;;;;;12,9;0,6;;30;;;;;;;;;13,3;;59;;7,1;;;;;;;;;;;
70487610;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6013;;;;;;;;;;;;;;;;;;;;
70489471;;;;;;;;;;;;;;;;;;;;;;;;;;;3,6;;;;;;;;;;;;;;;22;;;;;;;;;;;;;;;;;;;;35;;;;;;;;;;;;;;;;;22;;;;;;26;;;;;;;;;;;;;;
70525721;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;;;;;;;;;;;;;;;;;;;;
70591968;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97;;;;;;;;;;;;;;;;;;;;;;;;;;1154;;;;;;;;;;;;;;;;;;;;
70678758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47;;;;;;;;;;;;;;;;;;;;
70686116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;109;;;;;;;;;;;;;;;;;;;;
70699101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;211;;;;;;;;;;;;;;;;;;;;
70703031;;;;;;;;;;;;;;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70717745;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;;;;;;;;;;;;;;;;;;;;
70737757;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;74;;105;;;;;;;;;;;;;;;;;;
70739775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;
70751383;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53;;;;;;;;;;;;;;;;;;;;
70778973;;;4,9;;;;;;;;;;36;;;;;474;79;;;;;;;34;;;56;;;;;;;19,4;;;;;;;;;;;;;;;;;;;;;;;;;;;327;;;;;;6,4;;;;;;;;;;604;;;;;;;;;259;33;;;241;89;;;;;;
70779914;;;;;;;;;;;;;;;;;;;;;;2,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;184;;;;;;;;;;;;;;24;;;;;;
70780053;;;;;;;;;;;;;;;;;;;;;;;;;;;;320;;;;;;;;;;;;358;;;;;;;;;;;;;;;;;;;;;;;;;;0,6;0,8;;;;;;;;;;;;1077;;;;;;;;;;;;;;;;;663;;;
70821681;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,7;;;;;;;;;;;;;;;;;;;;
70844556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,8;;;;;;;;;;;;;;478;;;;;;;;;;;;;;;;;;;;509
70915652;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;106;;;;;;55;;;;;;;;;;;;;;3,3;;;;;;;;;;;;;;;;;;;;;1;;;;;;;51;;;;;;;;;;;;;;6,5;
70930091;;;;;;;;;;;;;;;;;;;;;;;;;;;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70967454;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55;;;;;;;;;;;;;;;;;;;;
70970228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120;;;;;;;;;52;;;;;;;;;;;
71082079;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;;;;;;;;;;;
71161460;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;;;;;;;;;;;;;;;;;;;;
71162182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73;;;;;;;;;;;;;;;;;;;;
71280014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123;;;;;;;;;;;;;;;;;;;;
71318298;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71323029;;;;;;;;;;;;;;5,4;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71331921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,8;;;;;;;;;;;;;;;;1,8;;;;;;;;;;;;0,8;8,3;;
71335402;8,2;;;;;3,4;66;;;;;;;29;55;;;;;;;;;;;88;17,5;;;;;22;;;;;43;;;;;;;;;;;;;;;;;;;;2,8;;;10,1;;18,9;;;;;;;7,2;36;;;;;;3,3;;;;;;;;44;13,8;;;;;;116;;;;;;;;
71390526;;;;;;;;;;;;;;;;;;;;;;;;;;;;760;;;;;;;;;5,1;;;;102;141;32;;;;;;;;;1,6;;;;;;;;;0,2;106;;;;7,9;;;;;6,6;6,7;;;;;48;473;47;;;;;14,9;;;;136;;;;;;;1,5;;;;
71411882;;;;;;;;;;;;;;;;;;;;5,1;1,4;;;;;11;;;;;;;;;;;;;;;;;37;;;;;;;;;;1,9;;;;;1,8;;;23;41;;;;;;;;;;;;;;;37;;;;;;;;;;;;;;;;;;;;;;
71462210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71480053;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71498571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,5;;;;;;;;;;;;;;;196;;;;;;;;;;;;;;;
71510748;;;;;;;;;;;0,8;;14,3;;;;;;;;;;;;;3,4;;;;0,8;;;;18,8;0,6;;;;5,4;;;1,5;8,7;;;;16,1;;;;;1,7;24;;;0,6;;8,8;;;;5,3;;;;;;;;;;26;;;;;36;;58;;;;;2158;130;8,4;;1,6;;;;;;;;;;;10,7
71527252;43;;;;;;;;;;;;;;;;;;;;;8;;;;;;28;;;;;;;1,1;262;;;;;84;20;;;;;;;;;;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;27;;;13,3;;;93;;17,5;47;76;;14,1;;;;0,7;;;;
71574303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12,6;;;;;;;;;;;;;;;
71583368;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,9;
71603645;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8,6;;;;;;;;;;;
71611112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,1;;;;;;;;;;;;;;;;;;;;
71632904;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,8;;;;;;;;;;;;;;;;;;;;
71680081;;;;;;;;;;;;;;;;;;92;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71704418;;;;;;;;;;;;;;;;;;19,8;1194;9,4;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,2;;;;;;;;;;;;;;;
71760673;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71777065;;;;;;;;;;;14,7;;;;;;;;;;;;;;;;;;;;;;;4,7;;;;5,5;0,4;;;1,6;;;;;;;;;;;;;;;;;143;;;;;;;;;;;;;;;;;;63;;479;;;;;;;;;189;;;;;32;;;;;;
71809133;;;;;;;;;;;;;;;;;;;;;;;;9,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71865634;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;;;;;;;;;;;;;;;;;;;;
71870712;;;;;;;;;;;;;;;;;;;;;;;;;;;448;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71871620;;;;;;;;;;;;;;;;;;;;;;;;3169;6,1;4,3;65;;;;;;;;;2,3;;;;;;;;;;;;;;;;;;;;6,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71875007;;;;;;;;;;;;;;;;;;;;;;;;22;0,4;;;;;;;;;;;;;;;;;;;;;;;431;586;198;233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71888942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71926373;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19,9;;;;;;;;;;;;;;;
71943253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71952079;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72009123;;;;;;;;;;;;;;;;;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72098561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;170;;;;;;;;;;;;;;;;;;;;
72135587;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;121;;;;;;;;;;;;;;96;;;;;;;;;;3,2;;;;;;;;;;
72207742;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;542;;;;;;;;;;;;;;;;;;;;;;;;;139;;;;221;;;;;;;;;;;;;;;;;;;;;;;;;59;78;;;;;;
